,color,distance,label,lat,lon,name,year
6300939170349056,#408000,0,S,42.86663,-76.98338,Start,2024
6220951914020864,#555555,5046.6,1,42.82252,-76.97855,Missick,2024
6307556372774912,#555555,10397.2,2,42.77486,-76.97866,West Lake Fire,2024
6273527883759616,#555555,18282.9,3,42.70583,-76.97397,Anthony Road,2024
4813577030467584,#555555,21823.5,4,42.68311,-76.958,Dresden,2024
6282250157031424,#555555,29548.3,5,42.61907,-76.94358,Scenic Overlook,2024
6321178197098496,#555555,36929.5,6,42.55683,-76.92051,Ol' Fourteener,2024
6309817572392960,#555555,43527.8,7,42.50076,-76.92199,Glenora,2024
4902442688839680,#555555,48780.9,8,42.46505,-76.9164,Magnus Ridge,2024
5939476937310208,#555555,53075.3,9,42.42841,-76.90517,Lakewood Vineyards,2024
6223518794514432,#555555,60708.1,10,42.38618,-76.85853,Clute Park,2024
6028342595682304,#555555,66340.5,11,42.43278,-76.86317,Hector Falls,2024
6290176686948352,#555555,76157.5,12,42.51984,-76.87355,Scale House,2024
5465392642260992,#555555,84043.2,13,42.58598,-76.85196,Idol Ridge,2024
6214833665998848,#555555,89032.2,14,42.6271,-76.84358,Billy's Burgundy Barn,2024
6272822099836928,#555555,95051.3,15,42.67589,-76.86435,Bonavista,2024
6196694710484992,#555555,102502.7,16,42.719913,-76.90298,Sampson South,2024
6296062302093312,#555555,105667.8,17,42.742188,-76.91621,Sampson North,2024
6277782652846080,#555555,110365.7,18,42.78306,-76.92658,Seneca Lake Camp,2024
6203567362801664,#555555,114514.1,19,42.81915,-76.93092,Zugibe,2024
5376526983888896,#555555,118537.4,20,42.85454,-76.93375,Watershed,2024
4870407769292800,#c93c0d,124336.4,F,42.87002,-76.97667,Finish,2024
6306619969241088,#408000,0,S,42.86657,-76.98338,Start,2023
6246879826280448,#555555,5034.1,1,42.8225,-76.97854,Missick,2023
6044669142106112,#555555,10384.7,2,42.77486,-76.97866,West Lake Fire,2023
5427290276102144,#555555,18270.4,3,42.70583,-76.97397,Anthony Road Winery,2023
4878799598518272,#555555,21811,4,42.68311,-76.958,Dresden,2023
6298675722584064,#555555,29535.8,5,42.61907,-76.94358,Scenic Overlook,2023
5481719188684800,#555555,36938.8,6,42.55683,-76.92051,Ol' Fourteener,2023
4899245085687808,#555555,43537.1,7,42.50076,-76.92199,Glenora,2023
6607619095527424,#555555,48848,8,42.46503,-76.91644,Magnus Ridge,2023
4792220137816064,#555555,53193.2,9,42.42841,-76.90517,Lakewood,2023
6541167361523712,#555555,60799.3,10,42.38618,-76.85853,Clute Park,2023
4892764886007808,#555555,66431.6,11,42.43278,-76.86317,Hector Falls,2023
4778031746908160,#555555,76248.6,12,42.51984,-76.87355,Scale House,2023
4922916428840960,#555555,84134.4,13,42.58598,-76.85196,Idol Ridge,2023
6244364854493184,#555555,89123.4,14,42.6271,-76.84358,Billy's Burgundy Barn,2023
5421418888036352,#555555,95078,15,42.6759,-76.86417,Bonavista,2023
6004699505360896,#555555,102530.8,16,42.71996,-76.90301,Sampson South,2023
6018664792850432,#555555,106706.4,17,42.74206,-76.91626,Sampson North,2023
6553190182944768,#555555,111422.4,18,42.78306,-76.92658,Seneca Lake Camp,2023
4723602834325504,#555555,115606.7,19,42.81915,-76.93092,Zugibe,2023
4920818169544704,#555555,119630,20,42.85454,-76.93375,Bottomless,2023
5903931653750784,#ff2600,125209.7,F,42.87012,-76.976295,Finish,2023
6197111624302592,#408000,0,S,42.86657,-76.98338,Start,2022
6219435186585600,#555555,6115.5,1,42.81292,-76.97709,Roy's Marina,2022
4812060303032320,#555555,10460.7,2,42.77486,-76.97866,West Lake Fire,2022
6262672286810112,#555555,18346.5,3,42.70583,-76.97397,Anthony Road,2022
6242296693522432,#555555,21887.1,4,42.68311,-76.958,Dresden,2022
6327693796704256,#555555,29611.9,5,42.61907,-76.94358,Scenic Overlook,2022
6304458627612672,#555555,37014.9,6,42.55683,-76.92051,Ol' Fourteener,2022
6203900491202560,#555555,43613.2,7,42.50076,-76.92199,Glenora,2022
6317693032464384,#555555,48924.1,8,42.46503,-76.91644,Magnus Ridge,2022
6236332124798976,#555555,53269.3,9,42.42841,-76.90517,Lakewood Vineyards,2022
6255550425726976,#555555,60919.3,10,42.38559,-76.85822,Clute Park,2022
6297637951111168,#555555,66552,11,42.43278,-76.86317,Hector Falls,2022
6292809132802048,#555555,76369,12,42.51984,-76.87355,Scale House,2022
4910318148911104,#555555,84254.8,13,42.58598,-76.85196,Idol Ridge,2022
6196439596138496,#555555,89243.7,14,42.6271,-76.84358,Billy's Burgundy Barn,2022
4855297403256832,#555555,95198.3,15,42.6759,-76.86417,Bonavista,2022
6219934543642624,#555555,102651.1,16,42.71996,-76.90301,Sampson (south),2022
6287887637151744,#555555,106826.7,17,42.74206,-76.91626,Sampson (north),2022
6276949294972928,#555555,111542.7,18,42.78306,-76.92658,Seneca Lake Camp,2022
4828957241245696,#555555,115727,19,42.81915,-76.93092,Zugibe,2022
4869574411419648,#555555,119750.4,20,42.85454,-76.93375,Bottomless,2022
4920318913150976,#ff7d78,125544,F,42.872,-76.97222,Finish,2022
5119037537255424,#408000,0,S,42.86657,-76.98338,Start,2021
6244937444098048,#555555,6115.5,1,42.81292,-76.97709,Roy's Marina,2021
5681987490676736,#555555,10460.7,2,42.77486,-76.97866,Kashong-ish,2021
5633693670440960,#555555,18346.5,3,42.70583,-76.97397,Anthony Road,2021
6205799084851200,#555555,21887.1,4,42.68311,-76.958,Dresden,2021
5714624192184320,#555555,29611.9,5,42.61907,-76.94358,Scenic Overlook,2021
6286334754816000,#555555,37014.9,6,42.55683,-76.92051,'Ol Fourteener,2021
5963462467387392,#555555,43613.2,7,42.50076,-76.92199,Glenora,2021
4878959871262720,#555555,48924.1,8,42.46503,-76.91644,Magnus Ridge,2021
5723384801394688,#555555,53269.3,9,42.42841,-76.90517,Lakewood Vineyards,2021
5079899178008576,#555555,60919.3,10,42.38559,-76.85822,Clute Park,2021
6526412420808704,#555555,66552,11,42.43278,-76.86317,Hector Falls,2021
5160434847973376,#555555,76369,12,42.51984,-76.87355,Scale House,2021
5070743717019648,#555555,84254.8,13,42.58598,-76.85196,Idol Ridge,2021
4837562560544768,#555555,89243.7,14,42.6271,-76.84358,Billy's Burgundy Barn,2021
5924324108140544,#555555,95198.3,15,42.6759,-76.86417,Bonavista Golf Course,2021
4798424201297920,#555555,101635.7,16,42.71163,-76.90204,Sampson State Park (south),2021
5400512513966080,#555555,105820,17,42.73895,-76.91224,Sampson State Park (north),2021
6277574145605632,#555555,111130.8,18,42.78306,-76.92658,Seneca Lake Camp,2021
4870199262052352,#555555,115315.1,19,42.81915,-76.93092,Zugibe,2021
5996099168894976,#555555,119338.5,20,42.85454,-76.93375,Bottomless,2021
5151674238763008,#ff6666,125132.1,F,42.872,-76.97222,Finish,2021
5685779242156032,#408000,0,S,42.86657,-76.98338,Start,2020
5690701543112704,#555555,6115.5,1,42.81292,-76.97709,Roy's Marina,2020
5665273424117760,#555555,10460.7,2,42.77486,-76.97866,Kashong-ish,2020
5732868995153920,#555555,18346.5,3,42.70583,-76.97397,Anthony Road,2020
5650850286403584,#555555,21887.1,4,42.68311,-76.958,Dresden,2020
5141527932174336,#555555,29611.9,5,42.61907,-76.94358,Scenic Overlook,2020
5745347150217216,#555555,37014.9,6,42.55683,-76.92051,'Ol Fourteener,2020
5704477885595648,#555555,43613.2,7,42.50076,-76.92199,Glenora,2020
6296522719232000,#555555,48924.1,8,42.46503,-76.91644,Magnus Ridge,2020
5170622812389376,#555555,53269.3,9,42.42841,-76.90517,Lakewood Vineyards,2020
5149907446923264,#555555,60919.3,10,42.38559,-76.85822,Clute Park,2020
5733572765810688,#555555,66552,11,42.43278,-76.86317,Hector Falls,2020
5636562473713664,#555555,76369,12,42.51984,-76.87355,Scale House,2020
5734901521317888,#555555,84254.8,13,42.58598,-76.85196,Idol Ridge,2020
5691821153845248,#555555,89243.7,14,42.6271,-76.84358,Billy's Burgundy Barn,2020
5679013058052096,#555555,95198.3,15,42.6759,-76.86417,Bonavista Golf Course,2020
5663570972901376,#555555,101635.7,16,42.71163,-76.90204,Sampson State Park (south),2020
5714270310367232,#555555,105820,17,42.73895,-76.91224,Sampson State Park (north),2020
5657938995707904,#555555,111130.8,18,42.78306,-76.92658,Seneca Lake Camp,2020
5660403031867392,#555555,115315.1,19,42.81915,-76.93092,Zugibe,2020
5712857400344576,#555555,119338.5,20,42.85454,-76.93375,Bottomless,2020
5657019268726784,#ff6666,125132.1,F,42.872,-76.97222,Finish,2020
6284604386312192,#408000,0,S,42.86657,-76.98338,Start,2019
5151397934792704,#555555,6115.5,1,42.81292,-76.97709,Roy's Marina,2019
4877229502758912,#555555,10460.7,2,42.77486,-76.97866,Kashong-ish,2019
6277297841635328,#555555,18346.5,3,42.70583,-76.97397,Anthony Road,2019
5100791207559168,#555555,21887.1,4,42.68311,-76.958,Dresden,2019
6238196459372544,#555555,29611.9,5,42.61907,-76.94358,Scenic Overlook,2019
5969285067309056,#555555,37014.9,6,42.55683,-76.92051,'Ol Fourteener,2019
6003129409601536,#555555,43613.2,7,42.50076,-76.92199,Glenora,2019
5146519523033088,#555555,48924.1,8,42.46503,-76.91644,Magnus Ridge,2019
5161132411060224,#555555,53269.3,9,42.42841,-76.90517,Lakewood Vineyards,2019
5636520228683776,#555555,60919.3,10,42.38559,-76.85822,Clute Park,2019
5117926113804288,#555555,66552,11,42.43278,-76.86317,Hector Falls,2019
5735240957952000,#555555,76369,12,42.51984,-76.87355,Scale House,2019
4798386653888512,#555555,84254.8,13,42.58598,-76.85196,Idol Ridge,2019
5172291004530688,#555555,89243.7,14,42.6271,-76.84358,Billy's Burgundy Barn,2019
6263672460541952,#555555,95198.3,15,42.6759,-76.86417,Bonavista Golf Course,2019
6237260693372928,#555555,101635.7,16,42.71163,-76.90204,Sampson State Park (south),2019
6272419429875712,#555555,105820,17,42.73895,-76.91224,Sampson State Park (north),2019
5440179456180224,#555555,111130.8,18,42.78306,-76.92658,Seneca Lake Camp,2019
5924286560731136,#555555,115315.1,19,42.81915,-76.93092,Zugibe,2019
5185859745742848,#555555,119338.5,20,42.85454,-76.93375,Bottomless,2019
5746348548685824,#ff6666,125132.1,F,42.872,-76.97222,Finish,2019
5655778694266880,#555555,0,S,42.86657,-76.98338,start (Geneva),2018
5680136795979776,#555555,6107,1,42.81292,-76.97709,Roy's Marina,2018
5730938675789824,#555555,10386.9,2,42.77486,-76.97866,Kashong-ish,2018
5720993477689344,#555555,18329.6,3,42.70583,-76.97397,Anthony Road Winery,2018
5748648235237376,#555555,21921.9,4,42.68311,-76.958,Dresden,2018
5676424065187840,#555555,29636.3,5,42.61907,-76.94358,Scenic Overlook,2018
5710682603388928,#555555,37019.4,6,42.55683,-76.92051,Ol Fourteener,2018
5733636452122624,#555555,43548.1,7,42.50076,-76.92199,Glenora Winery,2018
5752030723309568,#555555,48803.2,8,42.46503,-76.91644,Magnus Ridge Winery,2018
5693607356923904,#555555,53093.3,9,42.42841,-76.90517,Lakewood Vineyards,2018
5658894894366720,#555555,60715.1,10,42.38559,-76.85822,Clute Park,2018
5688386085978112,#555555,66390.9,11,42.43278,-76.86317,Hector Falls,2018
5657712503291904,#555555,76281.4,12,42.51984,-76.87355,Scale House,2018
5753416454242304,#555555,84115.5,13,42.58598,-76.85196,Idol Ridge,2018
5668001902755840,#555555,89051.9,14,42.6271,-76.84358,Billy's Burgundy Barn,2018
5733235208224768,#555555,95063.9,15,42.6759,-76.86417,Bonavista Golf Course,2018
5766862319124480,#555555,101581.6,16,42.71163,-76.90204,Sampson State Park (south),2018
5661420402245632,#555555,105839.6,17,42.73895,-76.91224,Sampson State Park (north),2018
5715319289020416,#555555,111181.8,18,42.78306,-76.92658,Seneca Lake Camp,2018
5741256864956416,#555555,115331.5,19,42.81915,-76.93092,Zugibe Winery,2018
5708494854422528,#555555,119301.7,20,42.85454,-76.93375,Bottomless,2018
5692043451957248,#d25555,125044.8,F,42.872,-76.97222,finish (Lakefront Park),2018
5633418423435264,#555555,0,S,42.86657,-76.98338,start (Geneva),2017
5735088218177536,#555555,6107,1,42.81292,-76.97709,Roy's Marina,2017
5748119283171328,#555555,10386.9,2,42.77486,-76.97866,Kashong-ish,2017
5669976513970176,#555555,18329.6,3,42.70583,-76.97397,Anthony Road Winery,2017
5743114304094208,#555555,21921.9,4,42.68311,-76.958,Dresden,2017
5705848751915008,#555555,29636.3,5,42.61907,-76.94358,Scenic Overlook,2017
5666644290437120,#555555,37019.4,6,42.55683,-76.92051,Ol Fourteener,2017
5688555066097664,#555555,43548.1,7,42.50076,-76.92199,Glenora Winery,2017
5720853220163584,#555555,48803.2,8,42.46503,-76.91644,Magnus Ridge Winery,2017
5697124062724096,#555555,53093.3,9,42.42841,-76.90517,Lakewood Vineyards,2017
5729821648748544,#555555,60715.1,10,42.38559,-76.85822,Clute Park,2017
5681461390737408,#555555,66390.9,11,42.43278,-76.86317,Hector Falls,2017
5664606865326080,#555555,76281.4,12,42.51984,-76.87355,Scale House,2017
5709198289534976,#555555,84115.5,13,42.58598,-76.85196,Idol Ridge,2017
5651442522128384,#555555,89051.9,14,42.6271,-76.84358,Billy's Burgundy Barn,2017
5719887657828352,#555555,95063.9,15,42.6759,-76.86417,Bonavista Golf Course,2017
5701751084679168,#555555,101581.6,16,42.71163,-76.90204,Sampson State Park (south),2017
5749716474134528,#555555,105839.6,17,42.73895,-76.91224,Sampson State Park (north),2017
5665117697998848,#555555,111181.8,18,42.78306,-76.92658,Seneca Lake Camp,2017
5654961308303360,#555555,115331.5,19,42.81915,-76.93092,Zugibe Winery,2017
5072143238823936,#555555,119301.7,20,42.85454,-76.93375,Bottomless,2017
5762957321437184,#d25555,125044.8,F,42.872,-76.97222,finish (Lakefront Park),2017
5159696684023808,,0,S,42.86657,-76.98338,start (Geneva),2016
5707702298738688,,6107,1,42.81292,-76.97709,Roys Marina,2016
5722646637445120,,10386.9,2,42.77486,-76.97866,Kashong-ish,2016
5639445604728832,,18329.6,3,42.70583,-76.97397,Anthony Road Winery,2016
5634472569470976,,21921.9,4,42.68311,-76.958,The Dresden,2016
5668600916475904,,29636.3,5,42.61907,-76.94358,Scenic Overlook,2016
5760820306771968,,37019.4,6,42.55683,-76.92051,Ol Fourteener,2016
5654313976201216,,43548.1,7,42.50076,-76.92199,Glenora Winery,2016
5644406560391168,,48803.2,8,42.46503,-76.91644,Magnus Ridge Winery,2016
5700305828184064,,53093.3,9,42.42841,-76.90517,Lakewood Vineyards,2016
5119667588825088,,60715.1,10,42.38559,-76.85822,Clute Park,2016
5710239819104256,,66390.9,11,42.43278,-76.86317,Hector Falls,2016
5066549580791808,,76281.4,12,42.51984,-76.87355,Note Fragrances,2016
5096363633147904,,84115.5,13,42.58598,-76.85196,Idol Ridge,2016
5664248772427776,,89051.9,14,42.6271,-76.84358,Billys Burgundy Barn,2016
5681034041491456,,95063.9,15,42.6759,-76.86417,Bonavista Golf Course,2016
5076495651307520,,101581.6,16,42.71163,-76.90204,Sampson State Park (south),2016
5720147234914304,,105839.6,17,42.73895,-76.91224,Sampson State Park (north),2016
5105650963054592,,111181.8,18,42.78306,-76.92658,Seneca Lake Camp,2016
6192449487634432,,115331.5,19,42.81915,-76.93092,Zugibe Winery,2016
4785074604081152,,119301.7,20,42.85454,-76.93375,Bottomless,2016
6245567495667712,,125044.8,F,42.872,-76.97222,finish (Lakefront Park),2016
